"REF_DATE","GEO","DGUID","Statistic","Age of reference person","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Private transportation","Dollars","81","units","0","v54531023","1.1.1.24","10538","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Private transportation","Dollars","81","units","0","v54531023","1.1.1.24","10660","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Private transportation","Dollars","81","units","0","v54531023","1.1.1.24","11436","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Private transportation","Dollars","81","units","0","v54531023","1.1.1.24","11258","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Public transportation","Dollars","81","units","0","v54531024","1.1.1.25","1224","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Public transportation","Dollars","81","units","0","v54531024","1.1.1.25","1249","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Public transportation","Dollars","81","units","0","v54531024","1.1.1.25","1285","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Public transportation","Dollars","81","units","0","v54531024","1.1.1.25","1479","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Health care","Dollars","81","units","0","v54531025","1.1.1.26","2361","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Health care","Dollars","81","units","0","v54531025","1.1.1.26","2574","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Health care","Dollars","81","units","0","v54531025","1.1.1.26","2564","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Health care","Dollars","81","units","0","v54531025","1.1.1.26","2780","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Direct health care costs to household","Dollars","81","units","0","v54531026","1.1.1.27","1643","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Direct health care costs to household","Dollars","81","units","0","v54531026","1.1.1.27","1824","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Direct health care costs to household","Dollars","81","units","0","v54531026","1.1.1.27","1799","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Direct health care costs to household","Dollars","81","units","0","v54531026","1.1.1.27","1918","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Personal care","Dollars","81","units","0","v54531028","1.1.1.29","1316","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Personal care","Dollars","81","units","0","v54531028","1.1.1.29","1311","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Personal care","Dollars","81","units","0","v54531028","1.1.1.29","1189","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Personal care","Dollars","81","units","0","v54531028","1.1.1.29","1384","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Recreation","Dollars","81","units","0","v54531029","1.1.1.30","3981","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Recreation","Dollars","81","units","0","v54531029","1.1.1.30","3935","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Recreation","Dollars","81","units","0","v54531029","1.1.1.30","3979","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Recreation","Dollars","81","units","0","v54531029","1.1.1.30","4624","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Recreational equipment and related services","Dollars","81","units","0","v54531030","1.1.1.31","954","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Recreational equipment and related services","Dollars","81","units","0","v54531030","1.1.1.31","914","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Recreational equipment and related services","Dollars","81","units","0","v54531030","1.1.1.31","980","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Recreational equipment and related services","Dollars","81","units","0","v54531030","1.1.1.31","995","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Home entertainment equipment and services","Dollars","81","units","0","v54531031","1.1.1.32","261","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Home entertainment equipment and services","Dollars","81","units","0","v54531031","1.1.1.32","200","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Home entertainment equipment and services","Dollars","81","units","0","v54531031","1.1.1.32","203","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Home entertainment equipment and services","Dollars","81","units","0","v54531031","1.1.1.32","209","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Recreational services","Dollars","81","units","0","v54531032","1.1.1.33","2148","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Recreational services","Dollars","81","units","0","v54531032","1.1.1.33","2132","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Recreational services","Dollars","81","units","0","v54531032","1.1.1.33","2184","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Recreational services","Dollars","81","units","0","v54531032","1.1.1.33","2593","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Recreational vehicles and associated services","Dollars","81","units","0","v54531033","1.1.1.34","618","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Recreational vehicles and associated services","Dollars","81","units","0","v54531033","1.1.1.34","689","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Recreational vehicles and associated services","Dollars","81","units","0","v54531033","1.1.1.34","613","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Recreational vehicles and associated services","Dollars","81","units","0","v54531033","1.1.1.34","826","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Education","Dollars","81","units","0","v54531034","1.1.1.35","1540","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Education","Dollars","81","units","0","v54531034","1.1.1.35","1688","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Education","Dollars","81","units","0","v54531034","1.1.1.35","1783","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Education","Dollars","81","units","0","v54531034","1.1.1.35","1691","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Reading materials and other printed matter","Dollars","81","units","0","v54531035","1.1.1.36","168","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Reading materials and other printed matter","Dollars","81","units","0","v54531035","1.1.1.36","156","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Reading materials and other printed matter","Dollars","81","units","0","v54531035","1.1.1.36","154","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Reading materials and other printed matter","Dollars","81","units","0","v54531035","1.1.1.36","165","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Tobacco products, alcoholic beverages and cannabis for non-medical use","Dollars","81","units","0","v1234868129","1.1.1.359","1785","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Tobacco products and alcoholic beverages","Dollars","81","units","0","v54531036","1.1.1.37","1336","","","t","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Tobacco products and alcoholic beverages","Dollars","81","units","0","v54531036","1.1.1.37","1406","","","t","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Tobacco products and alcoholic beverages","Dollars","81","units","0","v54531036","1.1.1.37","1463","","","t","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Games of chance","Dollars","81","units","0","v54531037","1.1.1.38","180","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Games of chance","Dollars","81","units","0","v54531037","1.1.1.38","217","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Games of chance","Dollars","81","units","0","v54531037","1.1.1.38","183","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Games of chance","Dollars","81","units","0","v54531037","1.1.1.38","186","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Miscellaneous expenditures","Dollars","81","units","0","v54531038","1.1.1.39","1703","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Miscellaneous expenditures","Dollars","81","units","0","v54531038","1.1.1.39","1794","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Miscellaneous expenditures","Dollars","81","units","0","v54531038","1.1.1.39","1865","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Miscellaneous expenditures","Dollars","81","units","0","v54531038","1.1.1.39","1838","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Income taxes","Dollars","81","units","0","v54531039","1.1.1.40","15334","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Income taxes","Dollars","81","units","0","v54531039","1.1.1.40","15310","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Income taxes","Dollars","81","units","0","v54531039","1.1.1.40","15144","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Income taxes","Dollars","81","units","0","v54531039","1.1.1.40","17167","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Personal insurance payments and pension contributions","Dollars","81","units","0","v54531040","1.1.1.41","4880","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Personal insurance payments and pension contributions","Dollars","81","units","0","v54531040","1.1.1.41","5067","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Personal insurance payments and pension contributions","Dollars","81","units","0","v54531040","1.1.1.41","5184","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Personal insurance payments and pension contributions","Dollars","81","units","0","v54531040","1.1.1.41","5297","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Gifts of money, support payments and charitable contributions","Dollars","81","units","0","v54531041","1.1.1.42","1967","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Gifts of money, support payments and charitable contributions","Dollars","81","units","0","v54531041","1.1.1.42","1929","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Gifts of money, support payments and charitable contributions","Dollars","81","units","0","v54531041","1.1.1.42","2207","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Gifts of money, support payments and charitable contributions","Dollars","81","units","0","v54531041","1.1.1.42","2280","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Total expenditure","Dollars","81","units","0","v54531042","1.1.2.1","72576","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Total expenditure","Dollars","81","units","0","v54531042","1.1.2.1","70565","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Total expenditure","Dollars","81","units","0","v54531042","1.1.2.1","76932","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Total expenditure","Dollars","81","units","0","v54531042","1.1.2.1","75093","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Total current consumption","Dollars","81","units","0","v54531043","1.1.2.2","58056","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Total current consumption","Dollars","81","units","0","v54531043","1.1.2.2","57832","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Total current consumption","Dollars","81","units","0","v54531043","1.1.2.2","63481","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Total current consumption","Dollars","81","units","0","v54531043","1.1.2.2","62553","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food expenditures","Dollars","81","units","0","v54531044","1.1.2.3","7285","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food expenditures","Dollars","81","units","0","v54531044","1.1.2.3","7484","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food expenditures","Dollars","81","units","0","v54531044","1.1.2.3","8004","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food expenditures","Dollars","81","units","0","v54531044","1.1.2.3","8087","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food purchased from stores","Dollars","81","units","0","v54531045","1.1.2.4","4761","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food purchased from stores","Dollars","81","units","0","v54531045","1.1.2.4","4724","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food purchased from stores","Dollars","81","units","0","v54531045","1.1.2.4","4677","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food purchased from stores","Dollars","81","units","0","v54531045","1.1.2.4","5372","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food purchased from restaurants","Dollars","81","units","0","v54531046","1.1.2.5","2524","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food purchased from restaurants","Dollars","81","units","0","v54531046","1.1.2.5","2761","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food purchased from restaurants","Dollars","81","units","0","v54531046","1.1.2.5","3327","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Food purchased from restaurants","Dollars","81","units","0","v54531046","1.1.2.5","2714","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Shelter","Dollars","81","units","0","v54531047","1.1.2.6","17306","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Shelter","Dollars","81","units","0","v54531047","1.1.2.6","17251","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Shelter","Dollars","81","units","0","v54531047","1.1.2.6","18207","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Shelter","Dollars","81","units","0","v54531047","1.1.2.6","18562","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Principal accommodation","Dollars","81","units","0","v54531048","1.1.2.7","16484","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Principal accommodation","Dollars","81","units","0","v54531048","1.1.2.7","16609","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Principal accommodation","Dollars","81","units","0","v54531048","1.1.2.7","17261","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Principal accommodation","Dollars","81","units","0","v54531048","1.1.2.7","17755","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Rented living quarters","Dollars","81","units","0","v54531049","1.1.2.8","8356","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Rented living quarters","Dollars","81","units","0","v54531049","1.1.2.8","8337","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Rented living quarters","Dollars","81","units","0","v54531049","1.1.2.8","8276","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Rented living quarters","Dollars","81","units","0","v54531049","1.1.2.8","9686","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Owned living quarters","Dollars","81","units","0","v54531050","1.1.2.9","6616","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Owned living quarters","Dollars","81","units","0","v54531050","1.1.2.9","6789","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Owned living quarters","Dollars","81","units","0","v54531050","1.1.2.9","7329","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Owned living quarters","Dollars","81","units","0","v54531050","1.1.2.9","6578","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54531051","1.1.2.10","1511","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54531051","1.1.2.10","1483","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54531051","1.1.2.10","1655","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54531051","1.1.2.10","1491","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Other accommodation","Dollars","81","units","0","v54531052","1.1.2.11","822","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Other accommodation","Dollars","81","units","0","v54531052","1.1.2.11","642","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Other accommodation","Dollars","81","units","0","v54531052","1.1.2.11","946","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Other accommodation","Dollars","81","units","0","v54531052","1.1.2.11","807","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Household operations","Dollars","81","units","0","v54531053","1.1.2.12","4004","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Household operations","Dollars","81","units","0","v54531053","1.1.2.12","4262","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Less than 30 years","Household operations","Dollars","81","units","0","v54531053","1.1.2.12","4249","","","","0"
